Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2011,Я выучила японский язык на слух {{пока}} я там жила*@* и конечно*@* были для меня много непонятных моментов.,пока,время,гп,мест,мест,и,и,1ед,мест мест,other
paraphrase (non-timed*@* sentence*@* On Democracy),eng,FL,IH,2009-2010,Купец*@* {{пока}} он ездил вокруг мира*@* потратил всю надежду*@* и вернулся домой старым и больным.,пока,время,гпг,сущ,мест,и,и,3ед,сущ мест,other
paraphrase (non-timed*@* paragraph*@* Globalization),eng,HL,IH,2011-2012,И {{пока}} вы ждёте своего заказа*@* вы слушаете вместо обычной музыки звуки живой природы»: звуки леса*@* шум океана или тропического ливня.,пока,время,пг,мест,мест,и,и,2мн,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2012-2013,Поскольку я в Нижнем не надолго*@* мне надо получать удовольствие от времени {{пока}} я здесь.,пока,время,гп,мест,мест,д,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* Environmental Sustainability),eng,FL,AL,2012-2013,Кроме того*@* грунтовая вода важна тем*@* что*@* {{пока}} она спускается вниз через почвы и грунт*@* она очищается.,пока,время,пг,мест,мест,и,и,3ед,мест мест,other
definitions (non-timed*@* sentences*@* Russian in the Major),eng,HL,AM,2012-2013,Пример употребления термина: До тех пор {{пока}} социально-экономическая система дееспособна*@* она обеспечивает определенный уровень стабильности и противодействует процессам*@* направленным на ее изменение.,пока,время,пг,мест,сущ,и,и,3ед,мест сущ,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Поэтому я бы не дала очень холодную воду русскому или пила холодную воду {{пока}} ужинала с русскими.,пока,время,гп,мест,null,и,null,1ед,мест null,null
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2011-2012,Дело в том*@* что государство не будет даже пытаться решить экологические проблемы каждого города*@* {{пока}} не может решить даже самых непосредственных экологических проблем страны.,пока,время,гп,сущ,null,и,null,3ед,сущ null,null
definition (non-timed*@* paragraph*@* Environmental Sustainability),eng,FL,AL,2011,Но {{пока}} мы обсуждаем устойчивое развитие*@* нам необходимо понимать*@* что этот концепт является гораздо больше чем только защита окружающей среды.,пока,время,пг,мест,мест,д,и,1мн,мест мест,other
description (non-timed*@* research paper*@* Russian in the Major),eng,FL,AL,2010-2011,Он должен обяснить цель и работу организации и то*@* что он делал {{пока}} он там работал.,пока,время,гп,мест,мест,и,и,3ед,мест мест,other
paraphrase (non-timed*@* paragraph*@* Russian History),eng,FL,IM,2010-2011,Он был успешным*@* {{пока}} он не пришёл в Новгород.,пока,время,гп,мест,мест,и,и,3ед,мест мест,other
