Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2011,Я выучила японский язык на слух {{пока}} я там жила*@* и конечно*@* были для меня много непонятных моментов.,пока,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2012-2013,Поскольку я в Нижнем не надолго*@* мне надо получать удовольствие от времени {{пока}} я здесь.,пока,время,гп,мест,мест,д,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Поэтому я бы не дала очень холодную воду русскому или пила холодную воду {{пока}} ужинала с русскими.,пока,время,гп,мест,null,и,null,1ед,мест null,null
definition (non-timed*@* paragraph*@* Environmental Sustainability),eng,FL,AL,2011,Но {{пока}} мы обсуждаем устойчивое развитие*@* нам необходимо понимать*@* что этот концепт является гораздо больше чем только защита окружающей среды.,пока,время,пг,мест,мест,д,и,1мн,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AM,2012,Мне нравится*@* что {{пока}} я молодой*@* я поднимаюсь по лестнице на 5-й этаж и остаюсь здоровым и спортивным.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
Самая страшная история,kaz,HL,IL,,Так  я  простояла  примерно  пять- шесть  секунд*@*  {{пока }} не  почувствовала*@*  как  под  моими  ногами  что-то  скользит.,пока,время,гп,мест,null,и,null,1ед,мест null,null
x_FBS_Моя квартира,fin,HL,C2,,Мне  очень  нравится  эта  квартира*@*  и  я  буду  там  жить  всё  время*@*  {{пока }} буду  учиться  в  университете.,пока,время,гп,мест,null,и,null,1ед,мест null,null
Самая страшная история*@* которая произошла со мной,kaz,HL,IH,,{{Пока }} я  печатала  этот  текст*@*  я  только  что  вспомнила  одну  страшную  историю*@*  которая  произошла  со  мной*@*  когда  я  училась  и  жила  в  интернате.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
x_FBS_Здоровье и настроение.,fin,HL,B2,,{{Пока }} я  болела*@*  я  бросила  куриене  и  мне  сразуже  полехчело.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
Спорт – это не для всех ,fin,HL,B2,,Жизнь  это  движение  и  мы  живем  {{пока }} мы  двигаемся.,пока,время,гп,мест,мест,и,и,1мн,мест мест,other
Парк аттракционов.,fin,HL,B2,,Мы  переоделись*@*  и  напоследок  он  каждой  из  нас  купил  по  сахарной  вате*@*  которую  мы  ели*@*  {{пока }} шли  домой.,пока,время,гп,мест,null,и,null,1мн,мест null,null
текст 35,fin,FL,B2,,Он  всегда  говорит  прямо*@*  не  думая*@*  а  я  наоборот  молчу  {{пока }} не  уверенна *@*  что  на  скажу  что-нибудь  глупого.,пока,время,гп,мест,null,и,null,1ед,мест null,null
notags_EC12-A3-2491,eng,FL,IL,,Факт  такой -  {{пока }} мы  сами  не  станем  такими  друзями*@*  какими  нам  хотелось  бы  наслаждаться  в  своем  круге*@*  мы  не  будем  имет  таких  друзей.,пока,время,п_г,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-4676,eng,FL,IL,,В  это  же  время*@*  {{пока }} я  ждала*@*  я  познакомилась  с  Рейчель*@*  и  мы  с  ней  быстро  и  крепко  подружились.,пока,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-9682,eng,FL,IL,,Я  не  знал  что  такое  жизнь*@*  {{пока }} не  взлетал  в  воздух!”,пока,время,гп,мест,null,и,null,1ед,мест null,null
Мой обычный день,kaz,HL,IH,,И  тогда*@*  {{пока }} мы  молодые  и  полны  сил*@*  мы  можем  добиться  своих  целей.,пока,время,пг,мест,мест,и,и,1мн,мест мест,other
Письмо 2,eng,FL,NL,,Я  могу  говорить  только  по-русски*@*  {{пока }} я  здесь  живу.,пока,время,гп,мест,мест,и,и,1ед,мест мест,other
Письмо 5,eng,FL,IM,,Или  я  снова  могу  посетить  Москву*@*  {{пока }} я  нахожусь  в  России*@*  если  это  лучше  для  них*@*  и  если  они  хотят  встретиться  со  мной.   нот- ( Еще  то*@*   я  хочу  пойти  в  баню!,пока,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (timed (60 min)*@* paragraph*@* ACTR essay),eng,FL,IH,2009-2010,Вы можете представить себе*@* как мы были голодны {{{{после}}}} {{того}}*@* {{как}} мы купались четыре часа?,после того как,время,гп,мест,мест,и,и,1мн,мест мест,other
summary (non-timed*@* paragraph*@* Power and Imagination),eng,HL,IM,2008,Эта статья очень интересная и в ней рассказывается подробно о каждой гипотезе о НЛО*@* но {{{{после}}}} {{того}} {{как}} я прочитала эту статью*@* я поняла что есть гипотезы*@* которые намного ближе к реальности.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
description (non-timed*@* paragraph*@* On Democracy),eng,FL,IM,2010-2011,Я помню*@* что я смотрел этот фильм не давно*@* {{{{после}}}} {{того}} {{как}} я сам изменил свою жизнь.,после того как,время,гп,мест,мест,и,и,1ед,мест мест,other
expository (non-timed*@* paragraph*@* Capstone),eng,FL,AL,2011-2012,Так как эта работа на занимает слишком много времени - только несколько часов в недели - я хочу продолжить её {{{{после}}}} {{того}}*@* {{как}} вернусь в США.,после того как,время,гп,мест,null,и,null,1ед,мест null,null
x_FBS_Интересное путешествие,fin,HL,B2,,{{{{После }}}} {{того*@* }} {{как }} я  окончила  гимназию –  в 2010  году –  я  решила*@*  что  хочу  по  жить*@*  по  работать  за  границой.,после того как,время,пг,мест,мест,и,и,1ед,мест мест,other
