Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
eng,FL,IH,2009-2010,Купец*@* {{пока}} он ездил вокруг мира*@* потратил всю надежду*@* и вернулся домой старым и больным.,пока,время,гпг,сущ,мест,и,и,3ед,сущ мест,other
eng,FL,AL,2012-2013,Кроме того*@* грунтовая вода важна тем*@* что*@* {{пока}} она спускается вниз через почвы и грунт*@* она очищается.,пока,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,AM,2012-2013,Пример употребления термина: До тех пор {{пока}} социально-экономическая система дееспособна*@* она обеспечивает определенный уровень стабильности и противодействует процессам*@* направленным на ее изменение.,пока,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,AM,2011-2012,Дело в том*@* что государство не будет даже пытаться решить экологические проблемы каждого города*@* {{пока}} не может решить даже самых непосредственных экологических проблем страны.,пока,время,гп,сущ,null,и,null,3ед,сущ null,null
eng,FL,AL,2010-2011,Он должен обяснить цель и работу организации и то*@* что он делал {{пока}} он там работал.,пока,время,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IM,2010-2011,Он был успешным*@* {{пока}} он не пришёл в Новгород.,пока,время,гп,мест,мест,и,и,3ед,мест мест,other
ger,FL,B1,,{{Пока }} он  лежал  в  детской*@*  он  думал  об  игрушках.,пока,время,пг,мест,мест,и,и,3ед,мест мест,other
fr,HL,C2,,Его  шарф  цепляется  за  ветви  дерева  и  он  пропеллером  летает  в  воздухе*@*  {{пока }} не  падает  в  сугроб.,пока,время,гп,мест,null,и,null,3ед,мест null,null
ger,HL,B2,,Он  прожил  во  француской  части  Швейцарий*@*  {{пока }} не  уехал  жениться  в  Россию.,пока,время,гп,мест,null,и,null,3ед,мест null,null
fin,HL,B2,,История*@*  какой  она  и  была*@*  такой  она  и  останется –  {{пока }} не  забудется.,пока,время,гп,мест,null,и,null,3ед,мест null,null
fin,HL,B2,,{{Пока }} не  привыкла  к  школьному  режиму*@*  бросила  спорт.,пока,время,пг,null,null,null,null,3ед,null null,null
fin,HL,B2,,Прошла  сначала  азы*@*  потом  средний  уровень*@*  {{пока }} не  смогла  устроиться  на  практику  в  учебный  центр.,пока,время,гп,null,null,null,null,3ед,null null,null
fin,HL,B2,,Однажды  моя  подруга  сказала ’’ Домашние  животные  очень  славные*@*  {{пока }} они  не  свои’’  и  я  с  ней  полностью  согласна.,пока,время,гп,сущ,мест,и,и,3мн,сущ мест,other
